,text,AG
24,si cualquier cosa es violación o acoso se minimizan la violación y el acoso por lo tanto pierden las víctimas de las mierdas que se dedican a violar yo acosar,0
25,que divertido que consideres que una piba por estar con uno con novia es una zorra si mal no recuerdo tambien te habias metido con uno con novia no hay que hacer lo que no nos gusta que nos hagan,0
26,odio los viejos que se creen que se merecen todo hijo de puta tú lo que te mereces es una tumba,0
27, tu eres demasiado perra ,1
28, el papapapartido imimimporta callate tartaja come polla de madeira,0
29, callate la puta boca gordo almagro,0
30,es un gran regalo y una polla un regalo aquí no le han regalado nada se lo ha currado muchísimo ya vale con las tonterías ,0
31,me saqué un  en el final de biología para vos hija de puta q no me quisiste promocionar por unas centésimas en tu cara y en tu cancha,0
32, puteria y perico también somos almas gemelas excepto que tu eres puta desde él vientre,1
33, eres una verdadera cagada puto mierda entre la mierda por eso a los putos argentos sudakas miserables se le aborrece por escorias como mico sorete mal parido,1
34,i added a video to a playlist httpstcolwxlqnkxyq el güero bastidas  enigma norteño ,0
35, asi le digo a tu mami callate perra,1
36, cállate y ven ya joder hostia puta,0
37,dos amigos hablando raúl q me das por mi mujer nada trato hecho,0
38, callate perra re despierta estoy,1
39, que te digan güero aunque seas mas negro que la noche,0
40,ah vaina ahora no puedo criticar porque soy inmigrante dios mío por que hay gente así httpstcorahmxdlg,0
41,immigration  invasion  entrada masiva de inmigrantes subsaharianos a ceuta  españa httpstcosuedozlxb via information passée sous silence par les médias belges ,0
42,de esto que estás escribiendo y te preguntas lo callada que está la perra miras hacia atrás y te encuentras esto httpstcolkdwuvhgaj,0
43,en ese listado deben estar de segundo los árabes y chinos que nos tienen jodidos vienen de sus países con una mano delante y una atrás y consiguen préstamos gigantescos para sus negocios y para maltratar al venezolano acá en margarita se ve mucho esa vaina httpstcoghdymtlv,1
44,querida tú eres una puta sin llenadero que dicen tus hijos de tu nuevo amor sigues siendo su ejemplo ,1
45,guyana recibirá  mil de unicef para atender a refugiados venezolanos  httpstcoqatezivvw httpstcojmezcitq,0
46,cómo cuando estás bien prietita y te dicen güera jajaja,0
47, tu eres la perra mas perra de las perras,1
48,inmigrantes intentan fugarse de ceuta escondidos en un ferry httpstcopzsyxikvuh vía,0
49, maldito hijo de perra no sé por que no se fue por una puta letrina en su pueblo y se ahogó en mierda como lo merecia,0
50, ya callate pinche puta y celebra la navidad hija de perra,1
51,a ver quién paga la factura y cómo se reparten el marrón de dejar inmigrantes ilegales sueltos por sus ciudades y que los votantes no de lo hagan pagar dentro de un año httpstcocehrdjssdu,0
52, el tiempo no existe la división espaciotemporal es una invención del hombre por lo tanto  cállate hijoa de puta,0
53, ahora que me has faltado el respeto te lo puedo decir por fin ¡a fregar puta,1
54,me mandan esta mierda cultura de la violación en sus mejores pantallas escoria se puede hacer algo  httpstcovgmcvpsob,0
55, pero el escenario que describe no es de acoso es de violación y asesinos,0
56,la conferencia sectorial de inmigración y emigración se reúne dentro de una hora por primera vez desde  en lo que va de año han llegado en patera a las costas de la región  ciudadanos argelinos,0
57, callate ivan el tonto no hay pruebas  donde estabas hijo de perra cuando gente como bucaram lasso  baqueros y oportunistas se comieron al ecuador y se repartian en pedazos cuando no habia ni carreteras ni hospitales ni me,0
58, final champions league  libertadores y sudaca  tour giro y vuelta  wimbledon  super bowl httpstcolurojtsiv,0
59, tu eres una puta sentenciada y estas con concha en el congreso mentiste en tu cv y a las justas terminaste primaria no te hagas la santa hipocrita de cuarta,1
60, distingues entre una violación o entre un acoso laboral o lo metes todo en el mismo pack cuando te meten mano o te proponen en el trabajo no te ponen una navaja en el cuello tú eliges si es conveniente o no y de esa elección corre,0
61, coño que callados estáis ,0
62,alguien me puede avisar donde consigo un teclado en arabe,0
63,jajajajajajjajajajajajajjaa ay dios la mujer es maldad me voy de aqui que puta pavera,1
64, cállate puta aprende a hablar y blanqueate el hocico ,1
65,mercedes y vodafone se lían en la polémica del futbolista özil sobre el racismo en alemania “soy alemán cuando ganamos pero un inmigrante cuando perdemos” httpstcoimsywzfheb vía ,0
66,calmados no se amontonenpinches nacos frijoleros pikense el culo httpstcotnlehuzse,1
67, cuando te conozca te pego un chicle en la cara a ver si te ves algún día bien,0
68, tu eres gilipollas roncero donde está vuestra puta factoría,0
69,como me matas cuando te mueves así de lento siento todo el recorrido y la presión de tu coño alrededor de mi polla acaricias mi pecho sientes mi respiración agitada me voy a correr nena httpstcopqrpcpi,0
70,la moronegrada está hundiendo el país a base d ser cobradores netos d pensiones teroristas robar violar traficar petar el sistema penitenciarioeducativojudicial y sanitariopero lo q importa es  negro q dice ser ingeniero httpstcopryptnca,1
71,porque la esatua de la libertad es mujer porque se nescesitaba una cabeza hueca para hacer un mirador,0
72,comemela xddd y la cara también  no nos pasemos httpstcotoyhyzb,1
73, cállate perra de mierda culona,1
74,lo peor es que luego los lees y estos simios deformados insinúan que la mujer es malvada y una zorra muajajajaja en el fondo siento lastima por estos seres,0
75, jajajaja vos cállate puta,1
76, callate bobo hijo de puta bestia humana lacra asquerosa izquierdistas rateros mal paridos,0
77,eso incompatible con ser moromierda o musulmono httpstcoamyofhqvqy,1
78,este güero anotando para mi pick de  viva dinamarca carajo httpstcohhvyewigco,0
79,no entiendo eso de enseñarle la polla a cualquiera de verdad no le encuentro el sentido,0
80,me obligan a tragar polla y me mean en la cara httpstcoshynivgxa,0
81, lo mas saturado es ver mi polla en tu culo agujereado,0
82, si estoy de acuerdo a ningún hombre le pasaría por la cabeza que una mujer es puta por subir fotos semi desnuda libertad y respeto,0
83, lo peor de todo es que tú eres parte de la culpa de la destrucción de venezuela hijo de la grandísima puta y encima sigues siendo chavista malparido ahora no se valen arrepentimientos tienen  años llevando palo y pasando roncha y es ahorita e,0
84,bronceado  goals he ido al kebap y me han hablado en árabe misión cumplida,0
85,la sacaron justo a l dia siguiente del documentalpor cierto excelente destapa la cruda realidad del inmigrante y de los q quedamos en vzlamadurocdtm httpstcobtnlgmvv,0
86,justificó la violencia a los diputados diciendo que ellos fueron a provocar podes ser tan hijo de puta marcos peña,0
87, callate perra loca con meterte con louis ya es mucho  te metes con barderas,1
88,yo no te discuto como sacar una muela así que cállate la puta madre,0
89,para que se inventó el alcohol para que las feas gordas y canis perdieran la virginidad,0
90,hay mujers inteligentes si son hombres que se han operado de cambio de sexo al revés no,0
91,y a los latinos nos dicen sudacas conquistados e incivilizados qué cosas no no todos httpstcoewhphwia,1
92,me voy a pintar el pelo güero para que alfredo me quiera,0
93,los inmigrantes muestran su cara más violenta con peleas en plena calle  el pueblo de ceuta httpstcoxddfyhl,0
94,ayer me estaba muriendo de una perra infección en la garganta y hoy me la peló ya estoy mejor ,0
95, y tu eres la amiga perra que me lo va mamar a espaldas de ella estupida,1
96,joder me cago en la puta que robo raoul se lo merecía joder ,0
97,se lo ha ganado a pulso y ha sido muy comedido ese musulmono o se lo piensa la próxima vez o le dan otra mayor httpstcontixmrp,1
98,así que tú eres el hijo de puta que se está comiendo todos los ñus vente que vamos a hablar httpstcoehlsvfic,0
99, with getrepost besos de mezcal pa’ el güero ¡feliz viernes httpstcomnwsnjtslz,0
100, jajajajajaja el multitasking es lo de hoy perra en instagram emo en twitter ridículas por facebook y divas en whatsapp todo a la misma vez y sin mezclar historias,1
101, callate la puta boca resentido y la proxima ves busquen vaselina porque no queremos hijo,0
102, el desnudo siempre ha formado parte del arte  el arte es super relativo  callate la boca de una puta vez httpstcoenksntq,0
103,si maltratas a un animal sos un hijo de puta y te merecés vivir de la peor manera,0
104, lastima callate zorra,1
105, merecias ser ahogado hijo de perra pero mildis,0
106,antonio adán mi novia es sevillista y es una puta mas  sevilla  real  httpstcopktyzipu vía ,1
107, siempre te hago el aguante callate mña si perra,1
108,los procesos administrativos tienen que ser rápidos para menores inmigrantes refugiades ya que el futuro de eses menores está en juego el día de mañana si quieren trabajar seguirán sin esos papeles los hombres terminarán en trabajos irregulares y las mujeres en prostitución,0
109,buenos dias a trabajar en la fabrica para pagar a los refugiados y demas gracias sánchez por ser tan hijo de puta,1
110,mirna para algunas feministas celebrarle un vestido a una mujer es acoso ojo ahí ,0
111,  habemos muchos hombres en contra del acoso eso sí no todos lo expresamos desde el prejuicio sexista su respuesta se ganará aplausos y likes de los bienpensantes 'pero en ciertos pasajes no representa más que el extremo opuesto de la desastrosa columna de caballero',0
112,mujer bésame una vez y te pertenecere para siempre hombre ostia gracias por la advertencia,0
113, ay cállate perra,1
114,llamar “mala puta” a una mujer es denominado “poema satírico” siento verdadero asco de oír leer y ver este tipo de ataques a diario a en los medios proindependentistas necesitamos más que nunca httpstcojxfzwpjwu,0
115,eso demuestra que no son “refugiados” de países en guerra sino económicos lo q es humano hasta q te das cuenta q si empiezan con mentiras seguramente lo q busca es invadir no convivir httpstcouwxihjgu,1
116,  años jugando a la play le enseñaron bastante que hijo de remil puta,0
117,llevamos ya  casos asilados de violencia de inmigrantes en la zona de barcelona en una semana a partir de cuantos casos dejan de considerarse aislados,1
118,apartas el tanga a un lado posas mi polla en tu coño y te dejas caer despacio metiéndola entera que placer me da sentir como aprieta tu coño durante todo el recorrido baja nena httpstcoeazapavw,0
119, callate perra yo hago lo que quiero,1
120,me acaban aqui de enseñar al niño polla o deberia decir pringado de la vida q lo unico q ha hecho en su vida indirectamente es tener una polla grande que puto ascazo niño,0
121, y tienen razón los inmigrantes vienen a imponernos sus costumbres httpstcoxstepibjql,0
122,yo creía que ese jueguito solo existía para los árabes jajaja httpstcodzujld,0
123, tú eres mi perra yo qué culpa,1
124,acabo de ver a una señora igualita a lupita d’alessio y dije fue como omfg is dat la leona dormida o nomas otra señora güera,0
125, jajjajaj cállate perra  me lo dijo por otra cosa no x eso,1
126,el orgullo que sientoes inmenso sos único te lo re mereces porque sos un actorazo de la puta madre httpstcoqfejabwvx,0
127,amigos con todo el respeto y con mas humor les comparto esta publicidad de tacos árabes y mas ubicado en camino viejo a la ventosa donde encontrara tacos árabes tacos orientales tacos de bistec quesadillas tlayudas lt lt lt no deje de probarlos httpstcoosytinalnx,0
128,la policía británica permitió la violación de  niñas pobres por parte de árabes httpstcouricnljo via ,1
129, vete a tomar por culo gilipollas tu felipe tendrías q estar en la puta mina y cállate la boca que no tienes ni idea aquí en españa sigue estando la misma puta dictadura solamente que adornada con consumismo,0
130, eres una basura de persona lo cual no me sorprende porque eres sudaca y asi son los tercermundistas,1
131,callate por zorra le dice damián jajajaja,1
132,teñida del orto me dice el cara de artesanía prehispánica seguís siendo sudaca amigo por algo no podes irte a tu alemania natal httpstcozjqwgolxp,1
133,en ceuta hay una montaña que simboliza todo lo que ocurre a ambos lados de la valla perfilada en la roca con el busto httpstcolhkgllkzq,0
134, hoy toda esta escoria está callada me gustaría oírlos hablar ,0
135,aquí es la oficina de atención contra el racismo claro que sí pásele pinche indio prieto sarrapastrozo ahorita lo atendemos primero que pase el güero,0
136, el simio fuenlabreño al cual tengo que ver más a menudo eres un tío de puta madre y te mereces lo mejor del mundo espero que en  te vaya todo de lujo y empieces por la puerta grande,0
137, callate que mañana nos vemos perra,1
138, y lo que no es la voz eh ¡movimiento semen,0
139,me pone mal verte mal pero no por mi sino por vos la puta madre te mereces el cielo no te quedes en una nube sola,0
140, manteros saltaron la valla en ceuta el otro día httpstcoveramkewb,0
141,pedimos picada árabe  palabras  corazón feliz,0
142, que te calles ya pesao aceptalo de una puta vez y dejalo ya en el pasado pide disculpas y ya conbio,0
143, lucas callate que no lees dm nunca la puta que te pario ahre,0
144,cómo me atraen las güeras ,0
145,pero callate puta no nos vemos hace meses y ahora que me voy me querés ver me caes mal agustina httpstcopnqkcwktmy,1
146, tu eres el gilipollas que no has tocado un libro de historia en tu puta vida y vas de listo sin saber de lo que hablas,0
147,esto podría explicar el brutismo caribeño y el subsahariano habrá correlación extreme heat linked with reduced cognitive performance among young adults in nonairconditioned buildings httpstcohrcbnjhq,0
148,me encantaria darte unas nalgadas ricas  a mí me encantaría pegarte una hostia en la cara httpstcorukwwvxlxm,0
149,porque las mujeres ven las peliculas porno enteras porque se creen que al final se van a casar o algo,0
150,porque andan llamando gata zorra o puta a baekhyun si es hombre manga de ridiculas,0
151,es una chinguita hacer tamales' refunfuña mi sirvienta la diódora 'cállate o te van a salir agrios' le digo bueno para qué les cuento a ustedes fresitas que fueron a la universidad qué van a saber de hacer tamales ,0
152,esa gente insultando y condenando al asesino de diana quer pero que luego le quitan importancia al acoso violación y maltrato a la mujer,0
153, coño hay una gran cantidad de vídeos porno amateur y son bastante buscados la verdad porque son chicas 'normales' la gente se imagina su vecina su amiga etc bueno pero que tiene que ver habláis del porno como tal no de sus cir,0
154, no nos confundamos muchas mujeres posan de victimas de acoso solo con una mirada ridículas estas se habrán comparado con lo que sufrieron las guerrilleras en las farc por ejemplo,0
155,venga si comemela xddd,0
156, cállate puta katy perri de los xiniyos y nunca mejor dicho,1
157,ingles y árabe httpstcojlqtajklxq,0
158, jajajajajaja callate mica zorra,1
159, uno mas imbécil diráshasta la polla ya estaba la gente con las payasadas de alves y neymar,0
160,si dios maldijo a eva porque se comió una manzana imagínense lo que va a hacer cuando se entere de que andan de borrachas y de putas todos los fines de semana lamentable,0
161, como estáis tan evolucionados culturalmente le recordais a cualquiera cuales son las normas cívicas españoles negros y árabes sin excepcion yo no he visto españoles poniendo pies en asientos negros y árabes bastantes,1
162,que no son ni las ocho de la mañana callate y echate a dormir en vez de hablar de la puta espicha,0
163, y están deseosos de ayudar a los moromierdas que llegan en oleadas a violar todas las mujeres y niños que puedan y oye si se legaliza mejor eh  el problema es que esto nunca les pasa a sus hijos y nietos lastima httpstcoroklmnpm,1
164,el director general de la guardia civil recorrerá esta tarde la valla que fue asaltada en ceuta ¡¡¡ a buenas horas mangas verdes ,0
165, tu eres zorra amiga jajajajajajajaja,0
166,odiame ero al mirarte a un espejo recuerda yo soy agil y atractiva tu eres una puta cerda,1
167, y estos son los hijos de puta que van a luchar contra la violencia que ejercen contra las mujeres es que no me troncho porque no tiene ni puta gracia ,0
168, si yo soy nazi tu eres un hijo de puta,0
169,lo malo del tema de acosos sexual que se da en todos lados… es simple… abuso físico violación o coacción son un delito… pero el coqueteo insistente o torpe no lo es ni es la caballerosidad una agresión machista… pero la exageración sensacionalista es lo de hoy no,0
170,ice le da gran prioridad a la lucha contra la inmigración ilegal incluyendo la búsqueda de extranjeros con antecedentes penales que presentan una amenaza para la seguridad pública httpstcoyaflvsxi httpstcoyafqzyjgsg,0
171,queria charlar de algo yo soy feminista siempre que una victima habla de algun abuso acoso o violacion que sufrio no le cues  es complicado porque me esta pasando lo mismo con mi viejo la ex lo esta acusando de cosas que s httpstcochcbfvrcp,0
172,de regreso al trabajo en cancha para univisión deportes en el américa vs veracruz se acabó hasta la melena güera ahí nos escuchamos hermanos httpstcokuxyrfom,0
173, yo se q soy la persona indicada para estos momentos no te lo mereces pero sos mi hermano hijo de mil puta ahi t hablo,0
174,hablemos de la paliza al turista americano por manteros subsaharianos  esos que entran echando cal viva a la guardia civil  no mejor volvemos a lo de franco que fue muy malo y evitó muchas checas y gulags si no llega a levantarse en esa anárquica españa ,1
175, callate que vos ni rollos tienes che puta,1
176,quieroite un lomito arabe com salsa de ajo,0
177,la introducción de los discursos de disculpa de los acusados de acoso sexual este año httpstcormirzxmbz,0
178,en este país lo que hay que hacer de una puñetera vez es que todo ilegal sin papeles sea deportado a su país de una vez ya vale de tanto buenismo y ayudas a inmigrantes antes que a los propios españoles httpstcoyqwoweae,1
179,llegarán en masa a cartagena de nosotros y nuestros gobernantes depende dar con la verdadera solución natural los de refugiados httpstcodpjeeyl o dar paso a una invasión en toda regla en nuestras calles y la confrontación social de extremistas httpstcocabgbatn,1
180,una chica dijo que no le gustaron los chistes sobre acoso y violación en el video de rubén y esto le contestaban algunos de sus fans httpstcofskldb,0
181,la zorra se queda callada porque sabe que mi combo es puro power ,1
182, comemela hso y si cojemos ahi nomas no pasa nada ahre,0
183, cállate que la que clava el visto sos vos zorra ,1
184, comemela lindo jajaja,0
185,no son subsaharianos son negros que yo sepa sudán y níger están en el sáhara ,0
186,el inmigrante que se queja del inmigrante que se queja del inmigrante  y así hasta el infinito httpstcojstanlyu,0
187,te puedo tener todo el respeto del mundo pero esque con una puta voz que me des ya no te lo mereces entenderlo respeto por respeto,0
188,el asesinato se hace en nombre del antifascismo imbeciles como tú hacen que esta escoria crezca httpstcooyzicycc,0
189, cállate zorra priista,1
190,mira en un futuro busca trabajos en los que te quieran porque no mereces esta puta mierda de trato,0
191,transparencia venezuela cuando un indocumentado pasa de reposero y chocador de autobuses del metro a manejar la política económica del país que hugo chávez ya había destruido tenemos el resultado de la vzla completamente destruida,1
192,ultra pendeja este ciudadano común teatro le bajo pelotudis esposelo y  horas al calabozo vago indocumentado httpstcomhdnrt,1
193,brigada humanitaria lleva agua a inmigrantes que cruzan desierto httpstcojfmrazzpl,0
194,muchas personas creen q una mujer es abusada o acosada por ir muy descubierta pero yo he visto acoso a mujeres por lo contrario también mujeres cuya religión o creencias son otras y son acosadas por eso eso demuestra q hay un standard tácito d mujer y q se espera sea cubierto,0
195,jackie y hyde merecian estar juntos la puta madre quiero romper todo,0
196,reino unido cero cristianos entre los  sirios refugiados reubicados en esd pais en lo que va de año en  solo reibicaron a  una clara predisposición a favor de supremacistas fundamentalistas islámicos absurdo y suicida httpstcolrqivxeryx,1
197,¡bueno y tu eres una puta arrastrada laidy gómez cargó contra guanipa y lo tachó de 'divisionista' httpstcoowwzdnm vía ,1
198, y por qué elpeor insulto que se te ocurre contra una mujer es puta es mucho peor ser violador yo asesino siendo putas sólo perdemos nosotras pero ahí está el machismo cultural 'eh q yo no soy racista q tengo un amigo negro',0
199,del árbol del silencio pende el fruto de la seguridadproverbio árabe,0
200,cuando no tengo a nico mi novia es mi perra httpstcofdejwvjn,1
201,estoy flipando le estaba diciendo a este chico que mi padre pegaba e insultaba a mi madre que tiene dos denuncias por violencia de género y órdenes de alejamiento y se puso a decirme que él jamás pensaría que la mujer tiene razón que si eso me pasó a mí es porque soy árabe httpstcojerlbuzynk,0
202,el acoso sexual empieza a destaparse en la industria musical poderoso magnate acusado de violación por varias  httpstcogzpzwewes,0
203,estoy haciendo el checkin a una muchacha de los emiratos árabes ella ese tatuaje es árabe no yo sí yo pensando pa dentro por dios y por alá que el significado sea lo que yo quería  ella es tal una palabra rara en árabe yo me la dice en inglés y yo ¡sí ,0
204,no puedo con lo que dice la canción de ‘que perra mi amiga’ y tú eres perra ládrame ,1
205, no todos tenemos tus mañas zorra,1
206, deja de provocarme maldita perra,1
207,joder nagore cállate de una puta vez pesada de los cojones ay dios la odio por qué tan tonta diooos espero que no me denuncie y vaya a la cárcel por esto nagore vete a llorar al deluxe por tu nariz ,0
208,pregunta para la izquierda esta es para nota si abrimos las fronteras indiscriminadamente y sin control y un inmigrante agrede a una mujer inmigrante también con la que está en una relación sentimental cómo se le localiza para citarle a juicio después de la agresión,0
209,que cuza antes la calle una mujer inteligente o una tortuga vieja una tortuga vieja porque las mujeres inteligentes no existen ,0
210,pero imbecil no ves que no haces reir a nadie jala bolas callete quedate como muerto escoria httpstcozjnymjswaq,0
211, cómo que te follas a una perra y olvidas su nombre sí bebé me gusta mucho tu inglés podrías enseñarme un poco,1
212, la educación sexual también es aprender que las mujeres con polla existen y son víctimas de violacion violan los hombres no las pollas,0
213,cómo supero arabe,0
214,temon árabe ,0
215, estudiante sueca elin ersson impide deportación de un solicitante de asilo afgano httpstcousnldowyw,0
216,mierdamierda y solo mierda viene de áfrica único sitio para recoger toda esa basura musulmono africana httpstcozldmfxbjzk,1
217,cállate puta zorra borracha drogadictaaa,1
218,hola tengo el hc de que hinata es mitad irlandés que tsukki es mitad franchute y yamaguchi mitad latino gtgtgt i'm in drugs,0
219, o el de los flacos cuando te vienen a decir de todo o sea si tu novia es una zorra problema de ustedes no mio,1
220, callate puta,1
221,la falsa portada de la falsa revista dice pop singer puta no hubo imaginación ni para inventarse un nombre que rimara con britney spears linsdsay steers whitney beers shitney shits,0
222,msdossary campeón del mundo de fifa  stefano pinna no pudo hacer nada ante el árabe resultado totalmente merecido ,0
223,qué actor pudo ser un gran güero en el universo extendido de dc checa nuestro video y entérate de nuestras opciones httpstcobkjqspubv httpstcobdhvfwsgw,0
224, noo callate perra que estoy buscando algo para poder dormir jajaj,1
225,uno de los refugiados del aquarius me obligaron a violar a menores y animales durante meses al final los más racistas y esclavistas son otros africanos por eso hay que solucionar el problema un situ si no las mafias ganan httpstcoiqlcfboym vía ,1
226,hay racismo cuando no creen que soy su hermana porque soy güera httpstcoihesphoii,0
227,si lo que esta sosa busca es provocar lo consigue es muy zorra httpstcoorrbtknkcb,1
228,igual posta odio los pies capaz tenes pie feo y me jodes apoyandomelo en la cara y te pego un hachazo,0
229,más residentes en emiratos árabes aseguran luchar para llegar a fin de mes httpstcoeunrhz,0
230, cállate perra mal parida de juan y kim no hables,1
231,i liked a video httpstcoshgvblsv francisco tárrega  capricho árabe,0
232,lo primero que hace sanchez dar mas cobertura y mas medidas a la inmigración ilegal enseñanza en árabe bajada del tiempopara nacionalizarse mirar a otro lado con los cada dia mas agresivos manteros etc,0
233,los que asaltaron la valla de ceuta con lanzallamas y con cal viva  también son victimas httpstcorqvctkiq,0
234,―confundes reina con zorra pf cállate antes de que te arranque la peluca,0
235, te mereces quedarte sin nada¡tu crees que si a la mujer que yo quiero le llamaran puta yo no me iba a levantary ademas que mas da su trabajo vamos a vereres un cobarde y una mierda de tioque decepcionmas vale quedarte,0
236,es una puta gilipollez alarmarse asi enserio que hay de malo no esta desnuda no tiene nada que enseñar por que tanto revuelo para eso puedes poner ropa a tu pj si tanto te molesta verle 'desnudo' un poquito de logica,0
237,que lindo es poder escuchar música árabe con alguien que también le gusta,0
238, ya ni me hables de esa escoria aunque no todos son malos,0
239, tu no te mereces q yo me esfuerce en poner ni una coma para q te ahogues al leer ,0
240, bobo hijo de perra usted cree que va a enseñarle a messi o llega a aprender del más grande,0
241, comemela tu a mi mamon xdddd,0
242,la mina también bastante puta onda la que esta de novia es ella no el httpstcocbygwbnty,1
243,me voy de viaje con unos tíos de mi papá y solo hablan en árabe,0
244,hola soy traedruffles tu novia es una puta me acabo de pasar el tekken con casemiro reídme las gracias por favor,1
245,desbloqueme dale zorrita sabes por qué te cagué a palo por puta te merecías la cagada a palo' lo que uno tiene que escuchar en la calle,1
246, tu eres mio puta y te callas cabron,0
247,me gusta machin mi pelo largo y güero ,0
248,tells my grandma me and daniel are fighting “ayyyyy pobrecito mi hijo tú eres la perra desgraciada” httpstcocdzbuougo,1
249, te lo mereces x no bailar conmigo ayer pedazo fe puta,1
250, no puedes con ese papel para ser santana se requiere ser una perra desde nacimiento y tu eres demasiado quinn fabray es decir mosquita muerta httpstconfjvtswrz,1
251, jajajajajaj soy imbecil tremeno acoso a tu tuiti pobre ajajajjaa yo  <,0
252,sigue la peligrosisima tendencia integrista y anti arabe de netanyahu con el silencio complice de la mayoria israeli y usa miles protestaron contra el estado judío  multitudinaria manifestación en israel en contra del decreto de netanyahu httpstcowxmlplzo vía ,0
253,ese buey feliz en su país gabacho otro anaya que desde el extranjero quieren gobernar httpstcogqhmndmxa,0
254,refugiados si inmigrantes los necesarios y los que realmente podamos atender pienso que españa sólo debería acoger y de una forma ordenada a inmigrantes latinoamericanos de habla española cristianos que httpstcomopmorl,0
255, callate se me ve perfecta perra,1
256, callate hijo da puta,0
257,retweeted la silla rota  atendía sexualmente a  hombres al día entre ellos policías y militares esta es la de la güera httpstcofvfqhtser,0
258, abusaba de él es una zorra merecía morir,1
259,quién les enseñará a los hijos fe puta a ser hijos de puta,0
260,os habéis dado cuenta de que podríais pintarle una polla en la cara a un vampiro dormido y se pasaría meses con ella,0
261,tengo muy claro q el perú es un país benevolente y apacible sabemos q aceptamos y de buena gana ayudar sabemos solidarizarnos también tengo claro q somos un país en pañales q no estamos preparados para recibir a más inmigrantes q huyen sin sustento por haber votado mal,0
262,campo de refugiados en españa q gobierno tendrá los santos cohones de poner fin sí o sí a este despropósito httpstcoejgckanzrz,1
263,juez reafirma orden a trump de reactivar el programa daca para jóvenes indocumentados httpstcoyivrpjmq httpstcoxkcrndyxgh,0
264,todos los pueblos todos tienen dcho a la libredeterminación  que a estas alturas tenga que aguantar a un chileno indocumentado que viniendo de donde viene pretende negarme mi legítimo dcho a la libredeterminación es el acabose el colonialismo de proximidad tb se acaba,1
265,allanaron la oficina de thomas ex de eby en la propia central a nuestra cgr nunca dejaron entrar porque es bilateral sin ver papeles y ahora se destapó escándalo de corrupción van a seguir igual con este fato feroz y ,0
266,feliz cumpleaños franchute moracrema ,0
267, señor presidente me robaron los tapones de mi auto a las afueras de suburbano de lechería llegué entre  pm y había combis y el indocumentado de labios prominentes el cual ya he visto como roba autopartes y las patrullas no hacen nada hoy me tocó a mí,0
268, tú lo lo único que te mereces es lo que comes puta bafofia a parte igual también dos ostias a ver si espabilas,0
269,un guardia civil asumirá el mando único de la inmigración httpstcomblupdv,0
270, como escuece perro vete a chuparla a artur más o a tu puta madre ya y callate,0
271,cuando albiol deje la política le pueden contratar como director de okdiario porque lo de inventarse cosas y difamar se le da de puta madre,0
272,odiame pero al mirarte a un espejo recuerda yo soy agil y atractivo tú eres una puta cerda y es que tienes tanta tonteria y tienes tanta maldad que en algun sitio de tu cuerpo se tiene que acumular,1
273, zorra callateeedd ,1
274, pelotuda deberiar juzgarte x abandononde persona hija de puta no mereces tener hijos ojala sigas siendo una gorda pedorra,1
275,el güero de fiesta jajaja el problema no fue animarlo sino después calmarlo httpstcozdqfclh,0
