,Category,text
74,0,todo bien digo si soy medio marica pero bueeeeeno se trata de ser adulto y no andar de rencoroso eso está más cagazon 
75,0,par de prietas deliciosos estos primos <> 
76,0,todo méxico se esta pasando a la izquierda jajajajaja no mamar en méxico no hay izquierda están los abzurdos pero nada más 
77,1, chinga tu madre ojalá te mueras puto 
78,0,si me ignoras con un hola que tiene letras ahora con un tuit de caracteres me vas a mandar a la erga 
79,0,hoy vi a una mujer usando una blusca con estampado de putos minions 
80,0, lenchibiblia jaja esta con madre sds 
81,0,violencia volátil visible violencia visceral de la verga verlos vergueársela pa' sentirse bien vergudxs perdón pero es… 
82,1,ojo aquí pinche boha alguien arróbela a la pinche putita 
83,0,cuatro putos años viviendo en xalapa y todavía me equivoco al tomar el camión maldita sea 
84,0,putas combis de tultepec en coacalco de berriozábal mexico mexico 
85,0,así mi mood laboral de hoy no entiendo ni madres 
86,0,chica sexy y nalgona excelente compañía excelente servicio de lujo 
87,1,no seas pinshi joto doble moral te odio tanto pero tanto tanto 
88,1,por qué no te abres a la verga y dejan de estar tuiteando sobre mi va si ni con los me 
89,0,pffff quiero ver a todos sus haters mamar duro 
90,0,lo que mandan en mi grupo de whatsapp quien quiere grabarse conmigo obvio yo mamando verga 
91,0,porqué todos siguen disfrazados de normalidad ¡ya es octubre putos 
92,0,ya dejen de mamar con coco y el día de muertos si no lo saca disney ustedes valiendo verga como siempre para hoy y mañana 
93,0,agenda de hoy estar de malas estar triste chingar la madre esos son mis únicas tres tareas de hoy y no me disculpo por nada 
94,0,tomarás mi alma en la lluvia a media noche mientras estoy hecha pedazos mientras me estoy volviendo loca 
95,1, tremendo hdp y así quieres ser presidente 
96,0,ya mejor mientame la madre bida 
97,1, espero y ya saquen a rogelia por joto aparte de que no sabe cocinar 
98,1, tu que putas hablas de cállate basquetbolero 
99,0,daría la salud de mi puta madre por poder meterte la lengua en ese culito mi amor 
100,1, y si tu vida sexual te hace feliz a mi tambien y chinguen a su madre los putos persinados te apoyo 
101,0,entre más corriente más ambiente cada que digan v word una verga se le va a caer a alguien 
102,0, sacó a guardado y valió madre 
103,1,los weyes ni tantita madre tienen una vez un bro me fue a recoger en el carro de su novia y yo así de déjame bajarme puto 
104,0,[noticia] karen bryson se suma a 'justice league' como la madre de cyborg 
105,0,madres que te dejan en la cola sin dinero la tensión aumenta cada vez que te acercas y tu madre sigue sin volver 
106,0, dejo al veracruzano con camote bueno salio picarona la chef 
107,0, tan mal está la delincuencia que le robaron la memoria gente tonta no saben ni a que van 
108,0,ni madres si se quiere ir que se vaya alv a rogar a la iglesia no mereces miserias 
109,0,la toma de fotos es este sábado u 
110,1, cállate tu infeliz gusana lameculos de los gringos 
111,0,rt si quieres ver la verga de este guapito 
112,1, y cuál es el problema wey la selección es de todos inche mamónvives de hacer polémica por todo chinga tu madre 
113,0, buenos diaaas a toda madreque siga lloviendo 
114,1,las buenas noches se dan no se arruinan hijo de tu puta madre 
115,0,la ra y última parte de esta rica cogidota dale rt si aguantas el dolor de una verga mezclado con placer 
116,0,todos hablan de los cerdos que comen huevo con catsup pero nadie menciona a los putos asquerosos que le echan valentina a su sincronizada 
117,0,tan pinches feas series que se pasan reimprimiendo en méxico y en eu es la mejor época para las reediciones de clásicos 
118,0,mi amor pasándola muy rico con nuestro single 
119,0,aaaaaah no si esta de la verga que llueva todo el día 
120,0,ya sigue me atl me vas a volver loca follow me 
121,0,chingas tú chingo yo chinga tu madre 
122,0,abron el sur es de lo peor en cómida y más putas careros no conocen las órdenes es taco x taco 
123,1, m jajaja esperando acá en mixcoac ya más de hora como siempre los chóferes saltándose calles que hdp 
124,0,perdón por no saber decirle que no a esta mujer la loca más loca de todas las locas 
125,0,tenía una cita con mi doctor pero la tuve que cancelar porque me enferme vale madre 
126,1,pinche tan joto por qué no le hablaste eres bien pendejo 
127,1,en serio me siento de la súper chingada putos vecinos 
128,0, y que estoy viendo la serie de lupe d'alessio y sus pelucas son muy feas y tristes 
129,1,respecto a lo de eduardo yáñez el reportero podrá demandar y hasta ganar pero lo marica para no responderle lo acompañará toda su vida 
130,1,seas mamón pinshe maty ya con ir vestido así de ridículo a trabajar es motivo de ponerle unos vergazos 
131,0,coger rico gusta pero que se los trague enamora 
132,0,creo que le voy a volver a poner cuerdas a la guitarra y me voy a poner a componer las piezas sencillas y feas que soy capaz de componer 
133,0, jajaja ya sabes muy luchona 
134,0, pues con tu cara podría ser cualquier mujer 
135,0,hoy es un buen día para votar en soribada la putisima madre vamos vota ctm ahre 
136,0,cada viernes de luchona y cabrona visitarte abuela 
137,0,ése día to nos partimos de risa porque fué el único que se salió de la housen de mi madre jsjajajajjajajjajajajajajajajjajajajajajajajha 
138,0,neta odio que me despierten porque no puedo dormirme de nuevo me caga ahora voy andar de malas todo el puto día 
139,0,esperar algo de políticos y más priístas ya valió supe verga 
140,1,me toco escuchar como mando a la chingada a la vieja que hacía que muriera de celos y la cual me nego que no tenía nada con ella 
141,0,verga para la banda dale rt y siganme 
142,0,señor ya deje de chuparse los putos dientes o lo que sea que esté haciendo se escucha en todo el restaurant no mame 
143,1,chingas a tu simia y puta madre negro pendejo para que dejen de tirarse como putas tus maricas seleccionados 
144,1,porque no piel canela tienes pinche prieta 
145,0,personas que cada que regresan alteran y vuelven loca tu vida tranquila y relajada 
146,1, vivís en lugares venís con la custodia del contry puto refugiado 
147,0,coño e su madre cuando pierdo los cambios hechos en el trabajo mierdaa puta tecnología 
148,0, es la mejor es mujer es luchona es hija es novia es abogada es mi vieja chingaoooo jajaja… 
149,0,cómo sé que ya va a hacer frío los mosquitos están más putos locos que de costumbre saben que no tardan en chingar a su madre 
150,1,no lleves a tu vieja que te sale lo joto jajajaja 
151,1,porque no les creo feos culiaos que a todo el mundo lo haya cagado un taxista 
152,0,algún activo de la cdmx que me quiera dar bien rico soy y me encanta vestirme como golfa 
153,0, todas son putas hasta que demuestran lo contrario quién fue el autor de esa gran mentira 
154,1, chinga tu madre ratero de mierda eres un vulgar populista retrógrado 
155,1,todos putos por no desaforar a tarek el miedo no anda en burrotodos son un asco 
156,0, pero el camote no engorga bueno en ocasiones si 
157,0,la banca en méxico esta viendo la propuesta de regular esta moneda para comenzar a invertir en ella va a subir su cotización pero cabron 
158,1,a me dejaste en seen pues seenga tu madre 
159,0,putas canciones que se convierten en la máquina del tiempo 
160,0,ha sabido liderar a un gpo que a pesar de las cosas feas lo ha manejado muy bien y sigue siendo un muy buen lider 
161,0,estoy loca por los gatos 
162,0,con esa cinturita y culito empinado cualquier activo se da su buena atascada con estos culos jejejeje 
163,1,no me he relacionado con muchas personas y como me cala que me recuerden a ciertas morras porque alch están feas y se burlan de mí 
164,0,se la pasan mamando verga con que en medicina está lo mejor de la universidad pero no son más que mentiras 
165,0,no señora tomarle fotos encuerado a un joto y después cogértelo no te hace fotógrafo 
166,1,te estás mamando villalord te estas mamandooooooooooooooooo se sale del grupo de whats 
167,1,jajajajaja mejor que vaya a prohibir a su casa a los deportistas q los deje empaz vieja loca 
168,0,mmmta pues no veo ni por qué tendrían no te he visto ni chancear una sola vez nada que ver gente loca 
169,0,de haber sabido que iba a incomodar y que significaba mas lo que hiciera cualquier pelado no hago ni putas madres puros pinches corajes 
170,0,esta semana me espera estrés llanto enojo desesperación y resignación putos exámenes muéranse mejor 
171,1,pinche marica te he de ver en el whatsapp jajajaja 
172,0,a mí no me gusta compartir estos rollos como si fuera chistoso siento que perpetúa un discurso misogynistoriented… 
173,0, jajajaja no mames estás cabrona woe 
174,1,no mames pendejo con eso no se juega pinche lobo puñetero bales berga 
175,0, cuando eres hermana hija madre padre abuel amig tóxica y luchona a la vez 
176,0,cualquiera en su sano juicio de habria vuelta loca por ti … 
177,1,pinches modas puro maldito pantalón skyny para puro hemo marica maldita sea 
178,0,estoy cagada de miedo pero si todo sale chingon les invito whisky coca y putas 
179,1,deja de mamar putito y cuando no les vendieron ustds boletos en la final a las gallinas no estabas chillando 
180,0,mi madre me abrazó y fue hermosoquiero más abrazos 
181,0,me acabo de dar cuenta que las personas feas se juntan con personas igual de feas… 
182,0,adivinen quien mariquita estaba viendo parte del tour barcelona del y termino llorando si esta mariquita 
183,0,apoco si me veo bien loca si le digo que hoy cumplimos un mes de conocernos 
184,0, yo si y no es prieta ni prietita totalmente clara 
185,0, que ustedes se pesquen de la verga de un mosquito para ofenderse es otra cosa frase célebre de en una camiseta que diga 
186,0,lo necesito no me puedo decir gorda profesional si no tengo unoooo 
187,1,mira compa a ti que te valga verga si esos putos no pueden hacer lo que tú deja que les arda la envidia 
188,1,hasta nunca putos chilenos a vivir del y a la camita a ver el mundial a mamar borracho 
189,1,como el maricon me cogio pero se la cague el consuelo del maricon 
190,0,ahora sí sentí que valía verga y nos asaltaban necesito diez bolillos para el susto 
191,0,creo yo quemala madre no he sido 
192,0,ahí les hablan a los putos que basan su vida en whatsapp 
193,1,que bien te ves con esos filtros hasta pareces albina ¡hija de tu puta madre prieta 
194,1,atención aquí viven los que nos asaltaron en un taxi a mis amigos y a mí prendieron mi iphone 
195,0,a los rojos y a los azules les van a mentar la madre hasta para llevar 
196,0,igual que tu te lucras de las mierdas de wismichu metiendo putos anuncion en el video venga no me jodas 
197,0, like si valiste madre en tu primer día de clases y prefieres un sugar daddy jajaa 
198,1, jajajaja tu mamá aparte de luchona naca y americanista ocurrente la putita 
199,0,neta que es una gran cosa hacer todas las tonalidades con la boca y esos tres putos botones inténtale 
200,0,acaso como ciudadano no estás hasta la madre de escuchar de fraudes saqueos corrupción y violencia que vive méxico 
201,0, la pobreza es cabrona mai frend no es por mala onda yo nomás me compré ese libro hahahaha 
202,0, uff palenque se pone cabron ahí disfruta yo el viernes a ver qué tal está 
203,0,ando bien caliente solo de imaginar que me como tus labios 
204,0,neh está de la verga mejor mándame a mia khalifa gg 
205,0,confieso que últimamente me vale verga todo 
206,0,me choca estar en mis lady days y sentirme como señora gorda de mercado sude y sude y siempre con un papel para usarlo como abanico 
207,0,ustedes son los que provocan el pinche desmadre si ya cierran y no avanzan para que putas vuelven a abrir las puertas 
208,0,ese momento en el que juegas y debes hacer una elección de esas feas los odio k 
209,0,ayer conocí a una chica que se llama vida y lo único que puedo pensar es en lo cagado que será cuando muera 
210,1,deja de mamar pinche vieja meca este twit hubiera estado perron hace horas ni pedo 
211,0,las bonitas somos solteras por decisión propia las feas pues por feas 
212,0,no se pasen de verga jajajajaja quién putas escucha hey tú muchacha linda ven dameun beso me cagué de la risa 
213,0,si pero no se quejan de que no los apoyaran solo les dicen putos es todo 
214,0,ya vimos coco sí es una maravilla de película no lloramos pero nos dieron ganasy lo mejor no vimos el puto corto de frozen 
215,0,no te pases de verga si aparece twisty el payaso 
216,1,tantita madre ‍ las de méxico están mejor hechas y más baratas 
217,0,gorda nivel va a tragar tamales al gym 
218,0,ando que me lleva la verga literalmente 
219,0,si te encuentro así en la noche si te la ando mamando rico jejeje 
220,0, insulte a los que no ponen sus putas direccionales 
221,0, alguien puso un post muy pendejo en feis y escribió y la neta se me hizo cagado soy muy simple 
222,0, no me gusta ese rectángulo hacia abajo que se ve en el medio del kit es como una tipo de arruga o no se en no se ve eso 
223,0,amigos tienen que leer esta puercada está muy pasada de verga 
224,1,si te tienes a ti mismo de fondo de pantalla eres lo que le sigue de joto 
225,0,sueño con el día en que… ¡ah no mames ¡verga ¡verga ¡es hoy 
226,0,si no te suma que se vaya a la resta digo verga 
227,1,ya saquen a esta pinche vieja ya cae bien gorda con sus payasadas parece prostituta 
228,0,chiste chiste cuál el el colmo de un joto andar con un mecánico y que le truene la reversa 
229,1,ahora en la noche tocará ver perder a los putos yankees 
230,0,como diría el ezequiel a mí me vale verga porque todos me pelan la verga alv v 
231,0, disculpeme pero las buenas noches a tu lado son feas tu eres la hermosa con esos obos que parecen estrellas y esa carita que parece laluna 
232,0,su pinshe madre está cabrona la inundación me tocará dormir aquí en la gasolinera 
233,0,amigos y conocidos se la viven en la peduki loca y uno que ya dejó el alcohol por la paz v 
234,0,no mamarya le dieron la vuelta los a los 
235,0,se emputa cuando alguien le dice algo y para acabarla de chingsr azota todas las putas puertas de la alacena y le vale verga todo 
236,0,bue me voy a poner a hacer algo de mí vida igual no voy a cursar ni loca porque van a hablar del hippie y no quiero escuchar boludeces 
237,1,ni una semana en operaciones y ya salió la gorda ridícula que propone ir disfrazados a la oficina en halloween 
238,0,primera vez que me dan asueto el día de muertos y yo de viaje de trabajo no mamar 
239,1,con ganas de decirle siempre fui realista a ti nunca te prometí nada pendeja si me fui de tu vida fue por que no sabes querer 
240,0,qué horrible ser mujer y tener que vivir cuidándote de todos los hombres que se te cruzan 
241,0,tenía rato que no veía a bolillo tan feliz verga 
242,0,le acaban de decir a mi mamá “está bien bonita tu hija ha de ser bien noviera” wtf gente 
243,0,pues el diseño chido pero eso de dos mentes brillantes sí que te la mamaste compa… 
244,1,viejas pendejas muchas pero más con la que vivo me cae bien gorda 
245,1,ahh que verga le vas a asegir chupando las bolas alos pateticos no son nada al lado de mexico wey 
246,0,osea de por si las putas universidades te roban de todos los modos posibles y ahora también la cédula sera tramite exclusivo para ellos 
247,0,mi madre siempre consintiendome 
248,0,ya chingo a su madre este pedo 
249,0,solo voy a comprar el boleto de la tnt para ir por tu autografo y para reclamarte mis putos dulces que nunca me han llegado gtv 
250,0,ya no curaré tu soledad cuando duerma la ciudad no estaré para oír tus historias tontas 
251,0,me caga que mi enojo se convierta en llanto que marica 
252,1,te voy a matar pinche maricon asqueroso mejor ni pises el aeropuerto 
253,1, claro desde putos narcopolíticos ignorantes para empezar los mas ratas y chairos es lo primero que deben de señalar pendejo medio vendido 
254,0,nos valió verga y no entramos a la clase del oompa loompa 
255,0,madres lo gorda que estoy 
256,0,a mi me gustan tragones que me den helado si me pongo loca 
257,1,increíble pasan los putos simios tercermundistas hondureños y eua no va al mundial solo tiran patadas y hacen tiempo antifútbol 
258,0,es depresión o tal vez estrés pero neta no tengo idea de que putas traigo 
259,0,es gracioso cuando te das cuenta de que está intentando hablarte con excusas bien tontas como sabes para cuándo es la tarea 
260,0,jaajjajaajajjajajajaajajjajajaajajajaja te pasasvoy a quedar loca de tanto bullyng psicólogo 
261,0,ya que se acabe el soy un mar de lágrimas no mamar 
262,0, o muere al ver a la luchona sobresalir 
263,0,al ver esa imagen de juro q me descontrole terrible grite flippee pero gra culpa la tuvo una amiga q… 
264,0,no entiendo para que me decías cuídate mucho si al final fuiste tú quien me dio en toditita la madre 
265,0,solo el amor de una madre apoyara cuando todo el mundo deja de hacerlo 
266,0, ya me hicieron llorar putos 
267,1,me recai que si leyeras mis tweets te enamorarías más de mí hija de la verga 
268,0,sabes que ya valió verga cuando los niños te dicen señora 
269,1, no tienen puta madre esos putos 
270,0,se inundó bien cabrón por donde vivo y se me hizo súper tarde para el trabajo 
271,0,la misma gata pero revolcada 
272,0,a mí una vez me escribio en grindr supongo es fakeporque en caso sea gay no se me hace de los tipos… 
273,0,a veces me pregunto por que estoy tan loca literal 
274,0,cuando pongo un tema de me siento como si estuviese en un antro lleno de putas drogas y alcohol siendo el rudo del trapeador 
275,1,que asco de personas solo son unas ratas que hablan a lo pendejo chingen a su madre los del pan y los que ya no son del pan putos 
276,0,una cosa es quererlo ver y otra es llevar tu sillitano mamar 
277,1,en el mismo en el que vas y chingas a toda tu puta madre 
278,0,estamos atorados en una pinche inundación en pinches tultitlán vale madre 
279,1, si este hijodeputa quiere ayudar debería ser completamente invisible al hacerloigual que su bola de secretarios lameculos 
280,0, super luchona y determinada te confundes con facilidad abierta a nuevas ideas platillo favorito elotes num de la suerte 
281,0,le hacen mucho a la mamada si todo el partido no han jugado a nada ya clasificaron y ya vale madre chavos 
282,0,dejen de mamar con su puta marcha lenta está pendejada ni avanza 
283,0,día viviendo en toluca el clima está de la chingada 
284,1,si vas a proponer pendejadas mejor no hagas ni madres y dejamos que el albañil diseñe morro pendejo sin noción de diseño o funcionalidad 
285,0,soy la única a la que la vida no la quiere 
286,0,pizza gorda porque hipster cualquier lugar con horno de barro las preparan 
287,0,cuando ya liberaron los caracteres pero nos encanta estar mamando 
288,0,ay no ya llorar en un video por los haters es estar loca 
289,1,llegando al travajo aquí caliente con la pinche verga tiesa cabrón ay te va pa que te la comas rico 
290,1,un ratito de exhibicionismo y clau no deja de ser una putita en todos lados rt rt rt que harían si se la encuentran 
291,0, días sin servicio de internet putos días y no dan solución luego porque terminan odiándolos 
292,0,manita arriba si ya estás hasta la madre de que en todos putos lados te meten a huevo la pinche publicidad de <> 
293,0,verga digo v word nunca los había leído d en qué burbuja vivo 
294,0,desde que tengo amigos colombianos entono baricco como ellos marica lo bueno es que no digo mucho baricco 
295,0,coincido completamente las autoridades no se pueden seguir haciendo de la vista gorda 
296,0,una constante de vacíos en el corazón y sonrisas tontas 
297,1,que ya se va a independizar el méxico del norte órale putos váyanse que aquí estorban 
298,1,marica aventar la piedra y esconder la mano falta de 
299,1,y todavía hay imbéciles mexicanos que los apoyaron el mundial pasado que se vayan a la verga putos ticos 
300,0,a mi se me hace gorda pero la vergota 
301,1,si te vas a ir a la verga de mi lado déjame igual de feliz a como estaba yo me entregué en excelentes condiciones pendeja 
302,0,por eso me gusta ir a bares gays te hacen sentir deseado jajaja se mamó 
303,1, pendeja pártele su madre 
304,0, versión gingac el puto amo y clon de de nigris 
305,0,de verdad extraño la voz de mi madre 
306,0,me están haciendo odiar cuphead putas redes sociales 
307,0, fue presentada en darren aronofsky se inspiró en buñuel cc 
308,0,el argentino es soberbio incluso con el argentino para los putos periodistas la dedicatoria de la selección por su pase al mundial 
309,1, ese conchadesumadre del yerko que ni siquiera le alcanza pa maricón porque hay que ser hombre antes y a ese le alcanza pa la mitad apenas 
310,1,aquí están tus buenas noches princesa por si el pendejo que te gusta se le olvidó o le vales madre o por si estás bien culera 
311,0,una mujer que es cabrona de verdad no lo anda pregonando maneja un perfil bajo y en el momento oportuno te da en la madre si es necesario 
312,0,jajajaja odio twitter solo quiero ver a mis timbiriches hace mucho que no actuaba como loca jaja 
313,0,esas putas siestas de tres horas que se vuelven hibernación gud mornin pipol 
314,0, es por que soy mujercita y no debi salir despues de las de la noche 
315,0,a coger y mamar que el mundo se va a acabar 
316,0,si decir ella me besó a mi yo no quería los hace más hombrecitos déjenme decirles que que putos fin del comu… 
317,0, ¡¡¡a cabrón a ti cuando te invitan a un lugar te pagan el viaje hospedaje y comida 
318,0,cosas feas y que tu papá decida despertarte con una canción norteña al oído 
319,0,la vida te puede partir la madre pero algun dia se tendra que disculpar 
320,0,si mañana no le hablo al crush soy joto y no hay mas que decir 
321,0,ahorita esta sudando la gota gorda 
322,0,valer verga es pistear a pesar de que tu maestra te está marcando como loca para subirte cali 
323,0,por qué putas cambias tu foto del a cada rato en una de esas te voy a mandar porno y no va a ser mi culpa 
324,0,con tanto puto estrés me dará una alopecia bien cabrona 
325,0,ay cabrón mejor el profe lapuente <> 
326,1,muy bonita tu novia la machorra me pregunto quien le dará a quien 
327,0,es en serio que hay una canción en bachata que trata de una mamá luchona así dice textual ‍ 
328,0, nos tapamos los ojos cuando pasen cosas feas andaleee 
329,0,sueño contigo todas las noches todas las putas noches esto es enfermizo y raro 
330,0,mañana te digo porque está culera la historia y ya me tengo que dom ir porque mañana entro a las putas a trabajar 
331,0,jawy y potro pa' la verga nunca me canso de decir eso 
332,0,seguir creyendo en que no te pasas de verga es mi mayor medalla 
333,0,¡hey cupido qué paso pues marica si yo soy buena gente 
334,0,esas putas encuestas aquien le preguntan por queestos politic… 
335,0,extraño tanto a mi madre 
336,1,deja de comer gorda de mierda si comiste ayer 
337,0,sólo los putos lloran cuando una mujer rompió su corazón un verdadero hombre no dice nada solo desarrolla la capacidad de amar a varias 
338,1,cortenme los putos brazos instructor de mierda jamás me había dolido tanto 
339,0, aquí todos son bien putos frustrada con los franceses 
340,0,porque no se ponen condones cuando tienen relaciones luego les salen hdp 
341,0,“como selena y the weeknd” se mamó j balvin jajajaj 
342,0,¡ohhh súbete el cierre jajaja aunque es la única que no esta gorda 
343,0,le hice la parada al pinche autobús tres putas veces y le valió verga 
344,0,me estaba valiendo verga el mundo hasta que llegaste tú 
345,0,si no te gusta no utilices todos y ya paren de mamar con esto 
346,1, solo lo elevaran un poco para luego sumirlo en los mas profundo del olvidohipocritas hdp 
347,0,si vamos abir asi pero algunos vamos en bolas y otros en camisa aon todos unos putos jajaja 
348,0,someone needs noche loca lets call andrea litza y te unes a la intensidad x apoyo moral 
349,0,pues los choferes de mi taxi gl son hombres bien nunca se me han insinuado por gorda supongo 
350,0,no sé cuando putas tengo que entregar mi reporte de reisdencias jajaja 
351,1, porque mean parados piensan q son hombres“ jajajajaja q hdp 
352,1,y a este pendejo qué jabón lo patrocina 
353,1, después de todo hay ratas de alcantarilla de patas menos feas que estas ratas de dos patas asquerosos 
354,0,me toca mucho el coño tener q quitarme las xapas q llevo en la mochila x miedo a q unos putos nazis me metan una paliza y q no les pase nada 
355,0, i know pero supongamos tú di que sí te cago la madre y ya jajaja solo para cumplir con el requisito 
356,1,awevo si princesa pero ya estoy aquí para atender putas como tu 
357,0,'los del bloomberg me la pelan los del reforma son unos pendejos no los ve nadie we' pedrito sola 
358,1,cuáles son los putos hater del canal de dalas ya se todos los putos basura de su canal cabrón besos 
359,0,con quién putas hablas tanto que siempre estás en línea a la verga 
360,0, esta ley es tonta y absurda uberpool es económico y ecológico ayuda a que no circulen varios autos eliminenla 
361,1,que maricon te viste pegándole al reportero 
362,0,en otras noticias no había estado tan gorda desde que estaba embarazada ni había comido tantas estúpidas espinacas 
363,0,estos putos celos que tengo no van neta no van 
364,1,ahora si saliste a mamar pinche joto das hueva pinche viejito gaga 
365,0, próximamente blon sacará un corrido o que berga 
366,0,estoy hirviendo en calentura no mamar send medicinas 
367,0,ando en la súper pendeja a sabiendas que mañana tengo examen 
